Level,Exp
1,8
2,64
3,216
4,512
5,1000
6,1728
7,2744
8,4096
9,5832
10,8000
11,10648
12,13824
13,17576
14,21952
15,27000
16,32768
17,39304
18,46656
19,54872
20,64000
21,74088
22,85184
23,97336
24,110592
25,125000
26,140608
27,157464
28,175616
29,195112
30,216000
31,238328
32,262144
33,287496
34,314432
35,343000
36,373248
37,405224
38,438976
39,474552
40,512000
41,551368
42,592704
43,636056
44,681472
45,729000
46,778688
47,830584
48,884736
49,941192
50,1000000
51,1061208
52,1124864
53,1191016
54,1259712
55,1331000
56,1404928
57,1481544
58,1560896
59,1643032
60,1728000
61,1815848
62,1906624
63,2000376
64,2097152
65,2197000
66,2299968
67,2406104
68,2515456
69,2628072
70,2744000
71,2863288
72,2985984
73,3112136
74,3241792
75,3375000
76,3511808
77,3652264
78,3796416
79,3944312
80,4096000
81,4251528
82,4410944
83,4574296
84,4741632
85,4913000
86,5088448
87,5268024
88,5451776
89,5639752
90,5832000
91,6028568
92,6229504
93,6434856
94,6644672
95,6859000
96,7077888
97,7301384
98,7529536
99,7762392
100,8000000
